ID_HOGAR,ID_GEOGRAFIA,MES_NUM,ID_POBREZA,MIEPERHO,FACTOR07,INGHOG2D,GASHOG2D,BRECHA_HOG,ING_PERCAPITA,GAS_PERCAPITA,BRECHA_PERCAPITA,LOG_INGHOG2D,LOG_GASHOG2D,LOG_BRECHA_PERCAP,GRU11HD,GRU21HD,GRU31HD,GRU41HD,GRU51HD,GRU61HD,GRU71HD,GRU81HD,GRU11HD_PCT,GRU21HD_PCT,GRU31HD_PCT,GRU41HD_PCT,GRU51HD_PCT,GRU61HD_PCT,GRU71HD_PCT,GRU81HD_PCT
11,1,1,3,2,263.821685791016,19015.69921875,42208.69140625,-23192.9921875,9507.849609375,21104.345703125,-11596.49609375,9.85307277838664,10.65040512783416,0.0,9280.966796875,930.72607421875,794.0,837.564758300781,2254.0,8590.4296875,1036.92553710938,1318.09436035156,0.2199,0.0221,0.0188,0.0198,0.0534,0.2035,0.0246,0.0312
12,1,1,3,4,263.821685791016,31776.18359375,59756.50390625,-27980.3203125,7944.0458984375,14939.1259765625,-6995.080078125,10.366503814192182,10.998050050297318,0.0,6730.2783203125,1471.81860351563,1111.0,638.965759277344,0.0,4640.984375,18487.78515625,59.6112327575684,0.1126,0.0246,0.0186,0.0107,0.0,0.0777,0.3094,0.001
13,1,1,4,4,263.821685791016,25681.68359375,26759.830078125,-1078.146484375,6420.4208984375,6689.95751953125,-269.53662109375,10.153572253658268,10.194694533122997,0.0,9501.4443359375,1591.85144042969,1038.0,1638.99450683594,461.0,1594.0,437.454132080078,1426.29455566406,0.3551,0.0595,0.0388,0.0612,0.0172,0.0596,0.0163,0.0533
14,2,1,3,1,125.811553955078,12204.3330078125,20451.140625,-8246.8076171875,12204.3330078125,20451.140625,-8246.8076171875,9.409628266994993,9.925842832031911,0.0,1528.81726074219,381.867309570313,243.390823364258,416.398193359375,0.0,2264.732421875,678.914428710938,1817.29150390625,0.0748,0.0187,0.0119,0.0204,0.0,0.1107,0.0332,0.0889
15,2,1,3,5,125.811553955078,50716.93359375,61187.7109375,-10470.77734375,10143.38671875,12237.5421875,-2094.15546875,10.834034846833006,11.02171798967969,0.0,15263.8095703125,317.0,485.1064453125,11099.3330078125,3487.0,5109.5595703125,5042.21923828125,2386.35083007813,0.2495,0.0052,0.0079,0.1814,0.057,0.0835,0.0824,0.039
16,2,1,3,1,125.811553955078,9328.6708984375,10785.7998046875,-1457.12890625,9328.6708984375,10785.7998046875,-1457.12890625,9.1409550197399,9.286078425260731,0.0,2772.58813476563,0.0,440.0,225.204360961914,1699.0,105.0,47.3908653259277,245.744262695313,0.2571,0.0,0.0408,0.0209,0.1575,0.0097,0.0044,0.0228
17,2,1,4,1,125.811553955078,6414.81201171875,6466.0556640625,-51.24365234375,6414.81201171875,6466.0556640625,-51.24365234375,8.766520849197953,8.774476208810585,0.0,615.159057617188,0.0,733.368774414063,325.417846679688,0.0,116.0,0.0,97.7631072998047,0.0951,0.0,0.1134,0.0503,0.0,0.0179,0.0,0.0151
18,2,1,2,6,125.811553955078,43962.046875,43871.62890625,90.41796875,7327.0078125,7311.938151041667,15.069661458333334,10.691104716284054,10.689045917285052,2.7769331128401062,11510.22265625,3338.73999023438,1417.90197753906,1596.64978027344,2094.0,6990.80908203125,2873.52954101563,1302.44714355469,0.2624,0.0761,0.0323,0.0364,0.0477,0.1593,0.0655,0.0297
19,2,1,5,3,125.811553955078,15687.642578125,13948.6787109375,1738.9638671875,5229.214192708333,4649.5595703125,579.6546223958334,9.660692326887236,9.543211755510267,6.364156126386566,3982.02465820313,729.531494140625,1819.50622558594,499.167907714844,348.0,181.980102539063,493.290893554688,1037.25390625,0.2855,0.0523,0.1304,0.0358,0.0249,0.013,0.0354,0.0744
20,2,1,4,2,125.811553955078,8825.0859375,10390.67578125,-1565.58984375,4412.54296875,5195.337890625,-782.794921875,9.085466926639103,9.248760358984796,0.0,4202.9814453125,120.716743469238,330.533142089844,577.190368652344,636.0,444.462615966797,874.918029785156,384.462921142578,0.4045,0.0116,0.0318,0.0555,0.0612,0.0428,0.0842,0.037
21,3,1,6,4,271.278656005859,15668.5625,16546.6796875,-878.1171875,3917.140625,4136.669921875,-219.529296875,9.659475415368732,9.714001170825192,0.0,5367.77685546875,257.350524902344,4763.5537109375,385.634704589844,336.0,770.132446289063,274.0,299.685668945313,0.3244,0.0156,0.2879,0.0233,0.0203,0.0465,0.0166,0.0181
22,3,1,2,3,271.278656005859,44531.109375,24581.701171875,19949.408203125,14843.703125,8193.900390625,6649.802734375,10.703965766944568,10.109798270160946,8.802492838300891,6227.3408203125,3079.96655273438,782.0,2015.4765625,1723.0,1328.80236816406,447.324340820313,485.001190185547,0.2533,0.1253,0.0318,0.082,0.0701,0.0541,0.0182,0.0197
23,3,1,4,2,271.278656005859,13970.240234375,15052.1513671875,-1081.9111328125,6985.1201171875,7526.07568359375,-540.95556640625,9.544756226719528,9.619342641425936,0.0,1548.10571289063,632.958129882813,1405.0,60.7012634277344,1538.0,1729.7548828125,1984.26696777344,567.32470703125,0.1028,0.0421,0.0933,0.004,0.1022,0.1149,0.1318,0.0377
24,3,1,5,4,271.278656005859,13441.2705078125,11983.896484375,1457.3740234375,3360.317626953125,2995.97412109375,364.343505859375,9.506159536402151,9.391402509732728,5.900838022957789,3456.7138671875,618.731140136719,562.0,481.287200927734,93.0,817.231994628906,837.408813476563,263.840423583984,0.2884,0.0516,0.0469,0.0402,0.0078,0.0682,0.0699,0.022
25,3,1,2,5,271.278656005859,31959.107421875,29302.49609375,2656.611328125,6391.821484375,5860.49921875,531.322265625,10.372243761009576,10.285462108492824,6.277249068394638,5565.03759765625,792.589111328125,1319.0,602.283874511719,353.0,1281.53540039063,3346.5078125,502.041717529297,0.1899,0.027,0.045,0.0206,0.012,0.0437,0.1142,0.0171
26,3,1,5,5,271.278656005859,24465.259765625,22741.162109375,1724.09765625,4893.051953125,4548.232421875,344.81953125,10.105050294963435,10.031975842352692,5.845917053001779,5698.2041015625,285.0,1124.0,627.402282714844,1692.0,5881.21923828125,861.62939453125,845.189331054688,0.2506,0.0125,0.0494,0.0276,0.0744,0.2586,0.0379,0.0372
27,4,1,3,3,271.278656005859,40593.2109375,50939.25,-10346.0390625,13531.0703125,16979.75,-3448.6796875,10.61138074767692,10.838408656255996,0.0,14760.7431640625,317.887420654297,1038.0,721.978332519531,9876.0,3191.78686523438,133.1474609375,1512.89587402344,0.2898,0.0062,0.0204,0.0142,0.1939,0.0627,0.0026,0.0297
28,4,1,4,5,271.278656005859,17130.564453125,29320.4921875,-12189.927734375,3426.112890625,5864.0984375,-2437.985546875,9.748677915409814,10.28607604786724,0.0,11838.048828125,863.0,892.0,1519.28039550781,1641.0,1739.59094238281,1519.0,436.487548828125,0.4037,0.0294,0.0304,0.0518,0.056,0.0593,0.0518,0.0149
29,4,1,1,2,271.278656005859,32102.20703125,26827.802734375,5274.404296875,16051.103515625,13413.9013671875,2637.2021484375,10.37671121164326,10.197231318285892,7.877852959771815,2143.11157226563,715.045532226563,3408.0,703.4609375,2791.0,698.0,61.3888664245605,2568.10034179688,0.0799,0.0267,0.127,0.0262,0.104,0.026,0.0023,0.0957
30,5,1,1,1,125.811553955078,8559.4765625,8348.5068359375,210.9697265625,8559.4765625,8348.5068359375,210.9697265625,9.054911140775346,9.029957754536326,5.356443465241741,3247.97827148438,413.464874267578,3235.0,445.459045410156,0.0,177.0,0.0,825.128479003906,0.389,0.0495,0.3875,0.0534,0.0,0.0212,0.0,0.0988
31,5,1,1,1,125.811553955078,22792.35546875,18432.271484375,4360.083984375,22792.35546875,18432.271484375,4360.083984375,10.034224345660276,9.82191254355866,8.380475925711679,4222.02392578125,79.3111801147461,4834.0,662.68994140625,71.0,501.892059326172,0.0,760.157348632813,0.2291,0.0043,0.2623,0.036,0.0039,0.0272,0.0,0.0412
32,5,1,3,4,125.811553955078,32546.740234375,36805.9375,-4259.197265625,8136.68505859375,9201.484375,-1064.79931640625,10.390463220783564,10.513441625411284,0.0,13520.51953125,2666.97412109375,671.0,980.494140625,118.0,1103.51684570313,545.0,774.951354980469,0.3673,0.0725,0.0182,0.0266,0.0032,0.03,0.0148,0.0211
33,5,1,6,8,125.811553955078,31059.240234375,33325.6875,-2266.447265625,3882.405029296875,4165.7109375,-283.305908203125,10.343683831198684,10.414113781424282,0.0,11707.2529296875,872.879455566406,1527.0,651.400024414063,1477.0,3046.00219726563,2246.0,1024.76452636719,0.3513,0.0262,0.0458,0.0195,0.0443,0.0914,0.0674,0.0307
34,5,1,3,2,125.811553955078,15057.9228515625,17756.005859375,-2698.0830078125,7528.96142578125,8878.0029296875,-1349.04150390625,9.619725974995305,9.784535413334282,0.0,3871.15283203125,702.061889648438,574.0,556.960693359375,0.0,322.253479003906,362.0,797.173217773438,0.218,0.0395,0.0323,0.0314,0.0,0.0181,0.0204,0.0449
35,5,1,2,4,125.811553955078,41055.0,24761.91796875,16293.08203125,10263.75,6190.4794921875,4073.2705078125,10.622692267415363,10.11710256996582,8.312446993161869,7681.99755859375,1063.09826660156,574.0,796.500183105469,483.0,354.0,468.0,660.372009277344,0.3102,0.0429,0.0232,0.0322,0.0195,0.0143,0.0189,0.0267
36,5,1,6,4,125.811553955078,14878.9150390625,17515.34765625,-2636.4326171875,3719.728759765625,4378.8369140625,-659.108154296875,9.60776759863036,9.770889875649075,0.0,7008.265625,870.346313476563,1478.0,1140.43664550781,0.0,266.842346191406,349.0,758.027221679688,0.4001,0.0497,0.0844,0.0651,0.0,0.0152,0.0199,0.0433
37,5,1,3,1,125.811553955078,11503.3037109375,13541.3681640625,-2038.064453125,11503.3037109375,13541.3681640625,-2038.064453125,9.350476480076312,9.51357843250682,0.0,5383.67236328125,0.0,927.212890625,396.778625488281,398.0,791.0,0.0,332.571319580078,0.3976,0.0,0.0685,0.0293,0.0294,0.0584,0.0,0.0246
38,5,1,3,1,125.811553955078,8522.6240234375,9512.146484375,-989.5224609375,8522.6240234375,9512.146484375,-989.5224609375,9.050596884249185,9.160429961424391,0.0,4021.525390625,241.556884765625,610.0,495.089019775391,0.0,118.0,0.0,249.194107055664,0.4228,0.0254,0.0641,0.052,0.0,0.0124,0.0,0.0262
39,6,1,2,5,78.585823059082,43525.5703125,23251.158203125,20274.412109375,8705.1140625,4650.231640625,4054.882421875,10.681126842388796,10.054153232648302,8.307923556161244,8819.662109375,1094.14416503906,574.0,684.088500976563,196.0,256.0,186.0,252.440292358398,0.3793,0.0471,0.0247,0.0294,0.0084,0.011,0.008,0.0109
40,6,1,3,4,78.585823059082,52344.7265625,58404.41015625,-6059.68359375,13086.181640625,14601.1025390625,-1514.9208984375,10.865625580922671,10.975163804187344,0.0,13929.6435546875,1257.46606445313,709.0,3657.35571289063,18164.0,1903.22521972656,1602.0,1373.03698730469,0.2385,0.0215,0.0121,0.0626,0.311,0.0326,0.0274,0.0235
41,6,1,1,2,78.585823059082,22073.4453125,17960.869140625,4112.576171875,11036.72265625,8980.4345703125,2056.2880859375,10.002175897749892,9.796006408858906,7.629143931347634,4091.26391601563,1762.46435546875,98.0,844.798583984375,0.0,117.498291015625,0.0,190.134857177734,0.2278,0.0981,0.0055,0.047,0.0,0.0065,0.0,0.0106
42,6,1,2,5,78.585823059082,39877.41796875,37098.15234375,2779.265625,7975.48359375,7419.63046875,555.853125,10.593590553498286,10.52134940045715,6.322301515747579,11603.6240234375,512.503234863281,586.0,1240.96044921875,1345.0,2346.61669921875,4374.0,813.063842773438,0.3128,0.0138,0.0158,0.0335,0.0363,0.0633,0.1179,0.0219
43,6,1,4,1,78.585823059082,6216.5986328125,6504.8564453125,-288.2578125,6216.5986328125,6504.8564453125,-288.2578125,8.735139039293188,8.780458041820987,0.0,1424.72106933594,0.0,550.0,241.945266723633,663.0,299.012359619141,60.7575187683105,77.3826446533203,0.219,0.0,0.0846,0.0372,0.1019,0.046,0.0093,0.0119
44,6,1,1,2,78.585823059082,28029.1015625,18285.318359375,9743.783203125,14014.55078125,9142.6591796875,4871.8916015625,10.241034267502252,9.813908428579108,8.491442797893134,4857.49169921875,402.389129638672,549.0,762.869567871094,147.0,993.49560546875,9.33276653289795,620.642211914063,0.2656,0.022,0.03,0.0417,0.008,0.0543,0.0005,0.0339
45,6,1,4,2,78.585823059082,15092.84375,16059.017578125,-966.173828125,7546.421875,8029.5087890625,-483.0869140625,9.622042240995818,9.684088082028484,0.0,5838.09130859375,0.0,599.0,833.444458007813,0.0,344.351409912109,0.0,535.284545898438,0.3635,0.0,0.0373,0.0519,0.0,0.0214,0.0,0.0333
46,6,1,3,4,78.585823059082,27414.373046875,32023.681640625,-4609.30859375,6853.59326171875,8005.92041015625,-1152.3271484375,10.218859195145717,10.374262185751432,0.0,9527.1083984375,2498.810546875,611.0,1524.82434082031,29.0,2978.56298828125,826.0,360.005401611328,0.2975,0.078,0.0191,0.0476,0.0009,0.093,0.0258,0.0112
47,7,1,4,1,78.585823059082,2218.54150390625,5313.79541015625,-3095.25390625,2218.54150390625,5313.79541015625,-3095.25390625,7.705055923764156,8.578249797120078,0.0,509.062255859375,0.0,85.0,1703.15466308594,0.0,941.299987792969,0.0,293.366302490234,0.0958,0.0,0.016,0.3205,0.0,0.1771,0.0,0.0552
48,7,1,1,2,78.585823059082,43241.58984375,25323.7265625,17917.86328125,21620.794921875,12661.86328125,8958.931640625,10.674581164588348,10.139536531921378,9.10051787654534,7231.0654296875,16.1037921905518,2758.087890625,560.192810058594,1442.0,1499.58703613281,36.4545135498047,895.206726074219,0.2855,0.0006,0.1089,0.0221,0.0569,0.0592,0.0014,0.0354
49,7,1,5,9,78.585823059082,35117.375,34032.69921875,1084.67578125,3901.930555555556,3781.411024305556,120.51953125,10.466479776746905,10.435106466222646,4.800075000890348,2745.0029296875,5840.21337890625,193.632858276367,1308.72290039063,0.0,6214.73388671875,1440.36499023438,1133.43957519531,0.0807,0.1716,0.0057,0.0385,0.0,0.1826,0.0423,0.0333
50,7,1,5,1,78.585823059082,7885.55078125,2963.23876953125,4922.31201171875,7885.55078125,2963.23876953125,4922.31201171875,8.972914154916499,7.99437553969349,8.501736756120534,947.467895507813,0.0,85.0,65.3662796020508,124.0,234.529769897461,0.0,0.0,0.3197,0.0,0.0287,0.0221,0.0418,0.0791,0.0,0.0
51,7,1,2,7,78.585823059082,42173.9140625,33499.92578125,8673.98828125,6024.844866071428,4785.703683035715,1239.1411830357142,10.649580869771311,10.419328352692505,7.1229805094047,8064.02978515625,798.114013671875,574.0,2449.80346679688,0.0,2746.8779296875,297.0,849.229431152344,0.2407,0.0238,0.0171,0.0731,0.0,0.082,0.0089,0.0254
52,7,1,2,2,78.585823059082,10192.0751953125,8296.49609375,1895.5791015625,5096.03759765625,4148.248046875,947.78955078125,9.229463866293417,9.02370907281969,6.8551870150939145,3724.65893554688,68.4411163330078,378.0,559.897521972656,245.0,1416.82397460938,0.0,308.487121582031,0.4489,0.0082,0.0456,0.0675,0.0295,0.1708,0.0,0.0372
53,7,1,7,4,78.585823059082,10218.640625,9051.5234375,1167.1171875,2554.66015625,2262.880859375,291.779296875,9.232066699245106,9.110798830700238,5.679419072193145,3015.5419921875,411.854522705078,109.0,600.283813476563,0.0,283.184509277344,65.0,212.591766357422,0.3332,0.0455,0.012,0.0663,0.0,0.0313,0.0072,0.0235
54,7,1,1,1,78.585823059082,10763.4345703125,10200.419921875,563.0146484375,10763.4345703125,10200.419921875,563.0146484375,9.284002883598967,9.230282197610784,6.335080223567696,367.889221191406,161.037933349609,0.0,133.385543823242,611.0,0.0,0.0,686.673095703125,0.0361,0.0158,0.0,0.0131,0.0599,0.0,0.0,0.0673
55,8,1,1,1,78.585823059082,13247.4111328125,8741.0009765625,4506.41015625,13247.4111328125,8741.0009765625,4506.41015625,9.491632909719332,9.07589438713253,8.413478022821145,1399.92810058594,72.430046081543,830.873229980469,696.2607421875,0.0,116.0,0.0,185.549606323242,0.1602,0.0083,0.0951,0.0797,0.0,0.0133,0.0,0.0212
56,8,1,2,1,78.585823059082,7676.5986328125,6072.8984375,1603.7001953125,7676.5986328125,6072.8984375,1603.7001953125,8.946062099228548,8.711755924606498,7.380692223918088,1350.32934570313,0.0,379.0,454.003234863281,0.0,116.0,0.0,53.6179046630859,0.2224,0.0,0.0624,0.0748,0.0,0.0191,0.0,0.0088
57,8,1,2,2,78.585823059082,14221.5302734375,12240.953125,1980.5771484375,7110.76513671875,6120.4765625,990.28857421875,9.562582625182038,9.41262411237248,6.899005686914472,1154.08605957031,0.0,623.0,179.148544311523,202.0,58.0,0.0,57.5046195983887,0.0943,0.0,0.0509,0.0146,0.0165,0.0047,0.0,0.0047
58,8,1,4,5,78.585823059082,30395.8671875,34629.36328125,-4233.49609375,6079.1734375,6925.87265625,-846.69921875,10.32209482904122,10.452486127703846,0.0,5108.52587890625,1215.46801757813,574.0,977.096252441406,293.0,1186.0,3412.0,470.807067871094,0.1475,0.0351,0.0166,0.0282,0.0085,0.0342,0.0985,0.0136
59,8,1,5,3,78.585823059082,18582.32421875,9469.1865234375,9113.1376953125,6194.108072916667,3156.3955078125,3037.7125651041665,9.830019910183283,9.155903882230875,8.01918920637853,4015.13208007813,0.0,98.0,261.527648925781,0.0,0.0,0.0,145.986694335938,0.424,0.0,0.0103,0.0276,0.0,0.0,0.0,0.0154
60,8,1,2,5,78.585823059082,43702.33984375,25416.916015625,18285.423828125,8740.46796875,5083.383203125,3657.084765625,10.68517980479375,10.14320955930661,8.204695001351821,6728.94873046875,1697.94970703125,599.0,1470.6162109375,0.0,1536.61218261719,646.0,106.714828491211,0.2647,0.0668,0.0236,0.0579,0.0,0.0605,0.0254,0.0042
61,8,1,2,1,78.585823059082,13627.580078125,8154.40869140625,5473.17138671875,13627.580078125,8154.40869140625,5473.17138671875,9.519924343044122,9.006436629238525,8.607796198339356,2778.60473632813,0.0,598.0,276.934051513672,73.0,0.0,0.0,0.0,0.3407,0.0,0.0733,0.034,0.009,0.0,0.0,0.0
62,8,1,4,5,78.585823059082,32564.00390625,36194.05859375,-3630.0546875,6512.80078125,7238.81171875,-726.0109375,10.390993490932898,10.496677885561406,0.0,4375.8837890625,1414.67456054688,86.0,1035.45495605469,0.0,175.0,818.757507324219,331.735046386719,0.1209,0.0391,0.0024,0.0286,0.0,0.0048,0.0226,0.0092
63,9,1,1,1,78.585823059082,21632.806640625,9623.748046875,12009.05859375,21632.806640625,9623.748046875,12009.05859375,9.982012492396064,9.17209298186531,9.393499793809006,3249.10522460938,0.0,916.332885742188,401.708465576172,0.0,116.0,0.0,167.649124145508,0.3376,0.0,0.0952,0.0417,0.0,0.0121,0.0,0.0174
64,9,1,1,4,78.585823059082,38342.34765625,37476.79296875,865.5546875,9585.5869140625,9369.1982421875,216.388671875,10.554336327765734,10.53150384904623,5.381686866038769,12392.55859375,804.38916015625,1563.33288574219,1318.07739257813,2124.0,1435.55383300781,568.0,2416.775390625,0.3307,0.0215,0.0417,0.0352,0.0567,0.0383,0.0152,0.0645
65,9,1,4,7,78.585823059082,31567.7890625,43126.14453125,-11558.35546875,4509.684151785715,6160.877790178572,-1651.193638392857,10.359924223594334,10.671907881358122,0.0,13173.404296875,358.545745849609,276.324005126953,5051.05419921875,2847.0,1891.18872070313,3083.42309570313,873.308288574219,0.3055,0.0083,0.0064,0.1171,0.066,0.0439,0.0715,0.0203
66,9,1,1,3,78.585823059082,31776.18359375,27947.048828125,3829.134765625,10592.061197916666,9315.682942708334,1276.3782552083333,10.366503814192182,10.238102666777047,7.152565018286761,18241.732421875,4506.7587890625,2796.86596679688,8969.3662109375,13072.0,8535.392578125,8890.09765625,2707.42041015625,0.6527,0.1613,0.1001,0.3209,0.4677,0.3054,0.3181,0.0969
67,9,1,1,4,78.585823059082,74898.4375,72129.28125,2769.15625,18724.609375,18032.3203125,692.2890625,11.22390165946376,11.186229224699876,6.541447029825156,19374.466796875,64.3822631835938,2295.73291015625,6994.4091796875,1204.0,5188.9658203125,19794.697265625,2078.46484375,0.2686,0.0009,0.0318,0.097,0.0167,0.0719,0.2744,0.0288
68,9,1,1,4,78.585823059082,70191.0625,63203.02734375,6988.03515625,17547.765625,15800.7568359375,1747.0087890625,11.15899051382046,11.054123301898189,7.466232584270632,16784.4453125,1788.10607910156,1149.33288574219,6126.380859375,1747.138671875,4957.0615234375,1621.49548339844,6376.12939453125,0.2656,0.0283,0.0182,0.0969,0.0276,0.0784,0.0257,0.1009
69,9,1,3,3,78.585823059082,34164.38671875,34882.90625,-718.51953125,11388.12890625,11627.635416666666,-239.50651041666663,10.438968326300532,10.459780862864765,0.0,3139.73388671875,251.0,513.332885742188,5672.99462890625,98.0,933.992431640625,4727.60595703125,314.9560546875,0.09,0.0072,0.0147,0.1626,0.0028,0.0268,0.1355,0.009
70,9,1,2,4,78.585823059082,20524.009765625,16294.615234375,4229.39453125,5131.00244140625,4073.65380859375,1057.3486328125,9.929399410112234,9.698651346580707,6.96446507875498,5570.50390625,2285.5703125,337.381988525391,714.841796875,86.0,746.530517578125,1153.36938476563,805.999206542969,0.3419,0.1403,0.0207,0.0439,0.0053,0.0458,0.0708,0.0495
71,10,1,2,3,78.585823059082,69472.671875,23555.11328125,45917.55859375,23157.557291666668,7851.704427083333,15305.852864583334,11.14870313783928,10.067140653071831,9.636055906749393,7609.560546875,213.375259399414,744.0,728.924621582031,116.0,1704.83703613281,60.7575187683105,407.142425537109,0.3231,0.0091,0.0316,0.0309,0.0049,0.0724,0.0026,0.0173
72,10,1,4,3,78.585823059082,16475.74609375,21197.154296875,-4721.408203125,5491.915364583333,7065.718098958333,-1573.802734375,9.709705338200884,9.961669395401874,0.0,2584.53271484375,3353.21215820313,61.0,1518.76379394531,0.0,118.0,620.060180664063,1576.72351074219,0.1219,0.1582,0.0029,0.0716,0.0,0.0056,0.0293,0.0744
73,10,1,2,9,78.585823059082,42986.23046875,36021.2109375,6965.01953125,4776.247829861111,4002.3567708333335,773.8910590277778,10.66865838472959,10.491890997676316,6.652722450476184,3853.2392578125,2047.34130859375,562.0,591.328369140625,305.0,367.128540039063,2077.0,59.4973564147949,0.107,0.0568,0.0156,0.0164,0.0085,0.0102,0.0577,0.0017
74,10,1,1,2,78.585823059082,36781.66796875,19404.05078125,17377.6171875,18390.833984375,9702.025390625,8688.80859375,10.51278203410147,9.873288660715328,9.069906191981188,2816.46630859375,0.0,818.0,0.0,0.0,1327.03393554688,0.0,53.2807464599609,0.1451,0.0,0.0422,0.0,0.0,0.0684,0.0,0.0027
75,10,1,2,3,78.585823059082,35173.83203125,17452.708984375,17721.123046875,11724.610677083334,5817.569661458333,5907.041015625,10.4680861067402,9.767307454293032,8.684069586014614,452.350494384766,543.049499511719,622.0,182.520416259766,603.0,1160.85302734375,143.0,17.8616561889648,0.0259,0.0311,0.0356,0.0105,0.0346,0.0665,0.0082,0.001
76,10,1,4,6,78.585823059082,23515.75390625,33823.03515625,-10307.28125,3919.2923177083335,5637.172526041667,-1717.8802083333333,10.065468378297677,10.428926928057138,0.0,2640.73291015625,2752.921875,61.0,415.232757568359,0.0,1394.87280273438,777.0,248.625122070313,0.0781,0.0814,0.0018,0.0123,0.0,0.0412,0.023,0.0074
77,11,1,2,2,65.2061309814453,18789.84765625,10785.4296875,8004.41796875,9394.923828125,5392.71484375,4002.208984375,9.84112520348419,9.28604411262454,8.294851564568384,1692.4521484375,0.0,73.0,274.997497558594,1214.0,189.0,5.85956192016602,513.021484375,0.1569,0.0,0.0068,0.0255,0.1126,0.0175,0.0005,0.0476
