ID_HOGAR,PC1,PC2
128,0.034063,-0.897509
129,-0.506145,-1.050750
130,-0.636234,-1.756206
131,0.816984,-0.915823
132,-0.242136,-0.166324
133,-0.247917,0.735781
134,0.380587,-1.403164
135,-0.188024,-0.813347
136,0.458936,-1.230017
137,0.046785,-0.137767
138,0.545233,-0.003500
139,-0.892574,1.148066
140,1.243510,-0.344172
141,0.357527,0.260484
142,0.416133,0.447492
143,-0.819606,-0.155573
144,0.941898,-0.230755
145,-1.816860,-1.011075
146,-0.475457,-0.961228
147,-0.217168,0.362637
148,-4.228739,-0.211124
149,1.003017,-0.241390
150,3.365514,-1.080114
151,-1.972121,-1.553616
152,0.764234,-0.051993
153,-2.046700,0.336621
154,-0.647619,-0.053284
155,-3.945696,-1.252912
156,0.327327,0.514118
157,-1.253035,0.142188
158,-1.497353,-0.715058
159,0.625413,-0.221806
160,-2.345242,0.330294
161,0.541338,-2.890764
162,0.400211,-0.325504
163,-1.289416,-1.845481
164,-1.644177,1.190521
165,0.672468,-0.019429
166,1.264637,-1.144665
167,0.908663,-1.945688
168,0.478478,-0.417221
169,-1.915833,-0.642110
170,-1.354022,0.553646
171,-0.566490,0.489563
172,-2.356873,-2.980809
173,-1.996796,0.093900
174,-3.772875,0.162506
175,-2.826402,-1.098910
176,0.846352,-0.947318
177,-0.907451,0.722221
178,0.429381,-0.483418
179,0.255537,-1.983611
180,0.523190,-0.111172
181,-1.382941,-1.643789
182,-0.625871,-1.826212
183,1.807896,-0.032675
184,1.492025,-1.192178
185,0.435199,-1.611267
186,0.835604,-0.903625
187,-3.438189,1.635821
188,1.963817,-0.736492
189,-0.270656,0.207356
190,-0.089392,-1.479267
191,2.374329,-1.291016
192,-0.370371,-1.749677
193,-2.169949,-1.414274
194,-0.699940,-1.318480
195,0.156882,-2.457567
196,0.118792,2.130724
197,-0.097172,0.987253
198,1.919528,0.053161
199,0.277169,-0.068785
200,0.337952,-0.841987
201,-1.744316,-0.055986
202,0.553465,-0.991756
203,-0.337018,-0.704937
204,-0.642226,-0.122456
205,0.991281,0.628490
206,-0.548444,1.152619
207,0.316755,-0.932261
208,0.434958,-0.278802
209,0.418502,0.815608
210,-2.022336,-1.288832
