ID_HOGAR,ID_GEOGRAFIA,MES_NUM,ID_POBREZA,Total_Miembros_Hogar,Factor_Expansion_Anual,Ingreso_Neto_Total_Hogar,Gasto_Total_Bruto_Hogar,Brecha_Monetaria_Hogar,Ingreso_Monetario_Per_Capita,Gasto_Monetario_Per_Capita,Brecha_Monetaria_Per_Capita,Logaritmo_Ingreso_Hogar,Logaritmo_Gasto_Hogar,Logaritmo_Brecha_Per_Capita,Gasto_Alimentos,Gasto_Vestido_Calzado,Gasto_Vivienda_Combustible_Electricidad,Gasto_Muebles_Enseres_Mantenimiento,Gasto_Salud_Servicios_Medicos,Gasto_Transportes_Comunicaciones,Gasto_Esparcimiento_Cultura_Ensenanza,Gasto_Otros_Bienes_Servicios,Porcentaje_Gasto_Alimentos,Porcentaje_Gasto_Vestido_Calzado,Porcentaje_Gasto_Vivienda_Combustible_Electricidad,Porcentaje_Gasto_Muebles_Enseres_Mantenimiento,Porcentaje_Gasto_Salud_Servicios_Medicos,Porcentaje_Gasto_Transportes_Comunicaciones,Porcentaje_Gasto_Esparcimiento_Cultura_Ensenanza,Porcentaje_Gasto_Otros_Bienes_Servicios,Tasa_Ahorro_Hogar,ID_SEGMENTO,PCA_VALIDO
27744,287,10,3,3,13.192159,31776.183594,58601.437500,-26825.253906,10592.061198,19533.812500,-8941.751302,10.366504,10.978532,0.000000,10230.525391,1782.567383,2612.965820,1515.587646,389.000000,5591.917480,1185.855835,2675.110840,0.393700,0.068600,0.100600,0.058300,0.015000,0.215200,0.045600,0.103000,-0.844194,4,1
27745,287,10,1,2,13.192159,67919.695312,63445.542969,4474.152344,33959.847656,31722.771484,2237.076172,11.126096,11.057953,7.713372,3769.247070,960.643555,2275.000000,1920.356323,15052.000000,3906.090576,1259.301025,2494.779053,0.119100,0.030400,0.071900,0.060700,0.475800,0.123500,0.039800,0.078900,0.065874,2,1
27746,287,10,1,2,13.192159,51819.648438,45487.261719,6332.386719,25909.824219,22743.630859,3166.193359,10.855544,10.725210,8.060601,832.292480,384.177460,8037.000000,1068.350952,632.000000,6643.952148,9854.876953,1191.263794,0.029100,0.013400,0.280600,0.037300,0.022100,0.231900,0.344000,0.041600,0.122200,2,1
27747,287,10,3,3,13.192159,15638.342773,40877.449219,-25239.106445,5212.780924,13625.816406,-8413.035482,9.657545,10.618358,0.000000,9829.355469,237.000000,6900.000000,0.000000,372.000000,1740.000000,207.000000,592.405884,0.494500,0.011900,0.347100,0.000000,0.018700,0.087500,0.010400,0.029800,-1.613925,4,1
27748,287,10,1,1,13.192159,10528.465820,9615.308594,913.157227,10528.465820,9615.308594,913.157227,9.261933,9.171216,6.818003,1109.843140,0.000000,226.000000,0.000000,0.000000,384.000000,0.000000,0.000000,0.645300,0.000000,0.131400,0.000000,0.000000,0.223300,0.000000,0.000000,0.086732,2,1
27749,287,10,1,1,13.192159,33605.183594,23077.429688,10527.753906,33605.183594,23077.429688,10527.753906,10.422465,10.046654,9.261865,3745.183105,0.000000,10491.000000,160.872299,1108.000000,1198.000000,135.755798,1573.724365,0.203400,0.000000,0.569800,0.008700,0.060200,0.065100,0.007400,0.085500,0.313278,1,1
27750,287,10,3,3,13.192159,31776.183594,58043.511719,-26267.328125,10592.061198,19347.837240,-8755.776042,10.366504,10.968965,0.000000,11595.638672,38.377773,3620.000000,1561.686646,664.000000,5434.251953,558.192383,2996.713135,0.438100,0.001400,0.136800,0.059000,0.025100,0.205300,0.021100,0.113200,-0.826636,4,1
27751,316,10,4,3,403.299835,18179.095703,20632.712891,-2453.617188,6059.698568,6877.570964,-817.872396,9.808083,9.934682,0.000000,3282.503662,339.803162,3799.000000,354.159149,0.000000,827.566589,117.000000,624.470276,0.351300,0.036400,0.406500,0.037900,0.000000,0.088600,0.012500,0.066800,-0.134969,3,1
27752,316,10,1,4,403.299835,69419.000000,36642.914062,32776.085938,17354.750000,9160.728516,8194.021484,11.147930,10.509003,9.011282,15738.720703,1834.137451,1751.000000,974.115173,61.000000,1474.000000,770.000000,1410.825195,0.655400,0.076400,0.072900,0.040600,0.002500,0.061400,0.032100,0.058800,0.472149,1,1
27753,288,10,1,1,37.861412,14348.000000,11770.016602,2577.983398,14348.000000,11770.016602,2577.983398,9.571436,9.373396,7.855151,969.806824,681.605225,333.000000,421.562103,0.000000,120.000000,0.000000,665.624023,0.303900,0.213600,0.104300,0.132100,0.000000,0.037600,0.000000,0.208600,0.179675,1,1
